Date,Ticker,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX
0,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594,2021-04-15,1.5299999713897705,1.5299999713897705,1.6109999418258667,1.618000030517578,1.5290000438690186,0.0,1.5299999713897705,1.5299999713897705,1.6109999418258667,1.618000030517578,1.5290000438690186,0.0,1.5299999713897705,1.5299999713897705,1.6109999418258667,1.618000030517578,1.5290000438690186,0.0,1.5299999713897705,1.5299999713897705,1.6109999418258667,1.618000030517578,1.5290000438690186,0.0,1.5299999713897705,1.5299999713897705,1.6109999418258667,1.618000030517578,1.5290000438690186,0.0,1.5299999713897705,1.5299999713897705,1.6109999418258667,1.618000030517578,1.5290000438690186,0.0
3595,2021-04-16,1.5729999542236328,1.5729999542236328,1.5640000104904177,1.5980000495910645,1.5640000104904177,0.0,1.5729999542236328,1.5729999542236328,1.5640000104904177,1.5980000495910645,1.5640000104904177,0.0,1.5729999542236328,1.5729999542236328,1.5640000104904177,1.5980000495910645,1.5640000104904177,0.0,1.5729999542236328,1.5729999542236328,1.5640000104904177,1.5980000495910645,1.5640000104904177,0.0,1.5729999542236328,1.5729999542236328,1.5640000104904177,1.5980000495910645,1.5640000104904177,0.0,1.5729999542236328,1.5729999542236328,1.5640000104904177,1.5980000495910645,1.5640000104904177,0.0
3596,2021-04-19,1.60099995136261,1.60099995136261,1.587000012397766,1.6150000095367432,1.5800000429153442,0.0,1.60099995136261,1.60099995136261,1.587000012397766,1.6150000095367432,1.5800000429153442,0.0,1.60099995136261,1.60099995136261,1.587000012397766,1.6150000095367432,1.5800000429153442,0.0,1.60099995136261,1.60099995136261,1.587000012397766,1.6150000095367432,1.5800000429153442,0.0,1.60099995136261,1.60099995136261,1.587000012397766,1.6150000095367432,1.5800000429153442,0.0,1.60099995136261,1.60099995136261,1.587000012397766,1.6150000095367432,1.5800000429153442,0.0
3597,2021-04-20,1.562000036239624,1.562000036239624,1.593999981880188,1.6119999885559082,1.5570000410079956,0.0,1.562000036239624,1.562000036239624,1.593999981880188,1.6119999885559082,1.5570000410079956,0.0,1.562000036239624,1.562000036239624,1.593999981880188,1.6119999885559082,1.5570000410079956,0.0,1.562000036239624,1.562000036239624,1.593999981880188,1.6119999885559082,1.5570000410079956,0.0,1.562000036239624,1.562000036239624,1.593999981880188,1.6119999885559082,1.5570000410079956,0.0,1.562000036239624,1.562000036239624,1.593999981880188,1.6119999885559082,1.5570000410079956,0.0
3598,2021-04-21,1.5640000104904177,1.5640000104904177,1.5679999589920044,1.5839999914169312,1.5540000200271606,0.0,1.5640000104904177,1.5640000104904177,1.5679999589920044,1.5839999914169312,1.5540000200271606,0.0,1.5640000104904177,1.5640000104904177,1.5679999589920044,1.5839999914169312,1.5540000200271606,0.0,1.5640000104904177,1.5640000104904177,1.5679999589920044,1.5839999914169312,1.5540000200271606,0.0,1.5640000104904177,1.5640000104904177,1.5679999589920044,1.5839999914169312,1.5540000200271606,0.0,1.5640000104904177,1.5640000104904177,1.5679999589920044,1.5839999914169312,1.5540000200271606,0.0
3599,2021-04-22,1.5540000200271606,1.5540000200271606,1.5770000219345093,1.587000012397766,1.5429999828338623,0.0,1.5540000200271606,1.5540000200271606,1.5770000219345093,1.587000012397766,1.5429999828338623,0.0,1.5540000200271606,1.5540000200271606,1.5770000219345093,1.587000012397766,1.5429999828338623,0.0,1.5540000200271606,1.5540000200271606,1.5770000219345093,1.587000012397766,1.5429999828338623,0.0,1.5540000200271606,1.5540000200271606,1.5770000219345093,1.587000012397766,1.5429999828338623,0.0,1.5540000200271606,1.5540000200271606,1.5770000219345093,1.587000012397766,1.5429999828338623,0.0
3600,2021-04-23,1.5670000314712524,1.5670000314712524,1.5440000295639038,1.5809999704360962,1.531000018119812,0.0,1.5670000314712524,1.5670000314712524,1.5440000295639038,1.5809999704360962,1.531000018119812,0.0,1.5670000314712524,1.5670000314712524,1.5440000295639038,1.5809999704360962,1.531000018119812,0.0,1.5670000314712524,1.5670000314712524,1.5440000295639038,1.5809999704360962,1.531000018119812,0.0,1.5670000314712524,1.5670000314712524,1.5440000295639038,1.5809999704360962,1.531000018119812,0.0,1.5670000314712524,1.5670000314712524,1.5440000295639038,1.5809999704360962,1.531000018119812,0.0
3601,2021-04-26,1.5700000524520874,1.5700000524520874,1.5950000286102295,1.5950000286102295,1.555999994277954,0.0,1.5700000524520874,1.5700000524520874,1.5950000286102295,1.5950000286102295,1.555999994277954,0.0,1.5700000524520874,1.5700000524520874,1.5950000286102295,1.5950000286102295,1.555999994277954,0.0,1.5700000524520874,1.5700000524520874,1.5950000286102295,1.5950000286102295,1.555999994277954,0.0,1.5700000524520874,1.5700000524520874,1.5950000286102295,1.5950000286102295,1.555999994277954,0.0,1.5700000524520874,1.5700000524520874,1.5950000286102295,1.5950000286102295,1.555999994277954,0.0
3602,2021-04-27,1.621999979019165,1.621999979019165,1.5809999704360962,1.6269999742507937,1.5700000524520874,0.0,1.621999979019165,1.621999979019165,1.5809999704360962,1.6269999742507937,1.5700000524520874,0.0,1.621999979019165,1.621999979019165,1.5809999704360962,1.6269999742507937,1.5700000524520874,0.0,1.621999979019165,1.621999979019165,1.5809999704360962,1.6269999742507937,1.5700000524520874,0.0,1.621999979019165,1.621999979019165,1.5809999704360962,1.6269999742507937,1.5700000524520874,0.0,1.621999979019165,1.621999979019165,1.5809999704360962,1.6269999742507937,1.5700000524520874,0.0
3603,2021-04-28,1.6200000047683716,1.6200000047683716,1.6380000114440918,1.659000039100647,1.6130000352859497,0.0,1.6200000047683716,1.6200000047683716,1.6380000114440918,1.659000039100647,1.6130000352859497,0.0,1.6200000047683716,1.6200000047683716,1.6380000114440918,1.659000039100647,1.6130000352859497,0.0,1.6200000047683716,1.6200000047683716,1.6380000114440918,1.659000039100647,1.6130000352859497,0.0,1.6200000047683716,1.6200000047683716,1.6380000114440918,1.659000039100647,1.6130000352859497,0.0,1.6200000047683716,1.6200000047683716,1.6380000114440918,1.659000039100647,1.6130000352859497,0.0
3604,2021-04-29,1.6399999856948853,1.6399999856948853,1.6649999618530271,1.687999963760376,1.6399999856948853,0.0,1.6399999856948853,1.6399999856948853,1.6649999618530271,1.687999963760376,1.6399999856948853,0.0,1.6399999856948853,1.6399999856948853,1.6649999618530271,1.687999963760376,1.6399999856948853,0.0,1.6399999856948853,1.6399999856948853,1.6649999618530271,1.687999963760376,1.6399999856948853,0.0,1.6399999856948853,1.6399999856948853,1.6649999618530271,1.687999963760376,1.6399999856948853,0.0,1.6399999856948853,1.6399999856948853,1.6649999618530271,1.687999963760376,1.6399999856948853,0.0
3605,2021-04-30,1.63100004196167,1.63100004196167,1.6419999599456787,1.652999997138977,1.621999979019165,0.0,1.63100004196167,1.63100004196167,1.6419999599456787,1.652999997138977,1.621999979019165,0.0,1.63100004196167,1.63100004196167,1.6419999599456787,1.652999997138977,1.621999979019165,0.0,1.63100004196167,1.63100004196167,1.6419999599456787,1.652999997138977,1.621999979019165,0.0,1.63100004196167,1.63100004196167,1.6419999599456787,1.652999997138977,1.621999979019165,0.0,1.63100004196167,1.63100004196167,1.6419999599456787,1.652999997138977,1.621999979019165,0.0
